nwt	New With Tags
std	Seal The Deal, Save The Date, Sexually Transmitted Disease, Stuff To Do
aaf	As A Friend -or- Always And Forever
hig	How's It Going?
hih	Hope It Helps
bofh	Bastard Operator From Hell
rfs	Really F***ing Soon
crs	Can't Remember Sh**
rfp	Request For Proposal
crb	Come Right Back
crd	Caucasian Rhythm Disorder -or- Deficiency
rfd	Request For Discussion
sii	Seriously Impaired Imagination
lmho	Laughing My Head Off
pvp	Player Versus Player
gftd	Gone For The Day
dtf	Down To F***
seg	Sh** Eating Grin
barb	Buy Abroad but Rent in Britain
sec	wait a second
sete	Smiling Ear To Ear
iccl	I Couldn't Care Less
wop	With Out Papers
wom	Word Of Mouth -or- Word Of Mouse
wog	Wise Old Guy
woa	Work Of Art
bibi	Bye Bye
ikr	I Know, Right?
bibo	Beer In, Beer Out
sts	So To Speak
weg	Wicked Evil Grin
mego	My Eyes Glaze Over
pds	Please Don't Shout
alol	Actually Laughing Out Loud
emsg	E-Mail Message
afap	As Far As Possible
wdym	What Do You Mean?
dfik	Darn If I Know
rofl	Rolling On Floor Laughing
imr	I Mean Really
lulz	laughs or LulzSec
wdys	What Did You Say?
msta	Must See To Appreciate
wdyt	What Do You Think?
dui	Driving Under the Influence
c/s	Change of Subject
dum	Do You Masturbate?
chln	it means chilling
tgif	Thank God It's Friday
laoj	Laughing At Own Joke
swf	Single White Female
pb	Potty Break
pc	Personal Computer -or- Politically Correct
pa	Parent Alert
pd	Public Domain
dur	Do You Remember
swu	So What's Up
po	Piss Off
pm	Personal Message -or- Private Message
yllo	You Lie Like Obama
imao	In My Arrogant Opinion
gas	Got A Second?
gap	Got A Pic? -or- Gay Ass People
natc	Not A Text Conversation
gal	Get A Life
gab	Getting A Beer
fuw	F*** You World -or- F*** You Weirdo
lool	Laughing Outrageously Out Loud
mla	Multiple Letter Acronym
bcbg	Bon Chic Bon Genre -or- Belle Cul Belle Geulle
iyo	In Your Opinion
mlm	giving the digital middle finger
bcbs	Big Company, Big School
fud	Fear, Uncertainty, and Disinformation
fub	Fat Ugly Bastard
fum	F***ed Up Mess
motd	Message Of The Day
stys	Speak To You Soon
yati	You're A Total Idiot
bbfn	Bye Bye for Now
hrcn	it means hurricane
aml	All My Love
ddwi	Don't Dick With It
ewi	E-mailing While Intoxicated
glgh	Good Luck and Good Hunting
tqm	Total Quality Management
wuwh	Wish You Were Here
hwga	Here We Go Again
dga	Don't Go Anywhere
syk	So You Know
syl	See You Later
sys	See You Soon
dgt	Don't Go There
syt	See You Tomorrow
byam	Between You And Me
hagd	Have a Great Day
gsw	Gun Shot Wound
hagn	Have A Good Night
hago	Have A Good One
gsc	Gimme Some Credit
huya	Head Up Your Ass
adbb	All Done Bye Bye
ldr	Long Distance Relationship
swit	Sit and Sweat
snag	Sensitive New Age Guy
nwot	New WithOut Tags
bio	Bring It On
bil	Brother-In-Law -or- Boss Is Listening
bif	Basis In Fact -or- Before I Forget
rhip	Rank Has Its Privileges
f/u	it means to Follow Up
itma	It's That Man Again
bseg	Big Sh** Eating Grin
u-l	You Will
tyl	Text You Later -or- Thank You Lord
ijs	I'm Just Saying...
w/o	Without
wip	Work In Process
igtp	I Get The Point
suac	Sh** Up A Creek
pron	porn
pmf	Pardon My French
bd	Big Deal -or- Baby Dance -or- Brain Drain
bf	Boyfriend -or- Best Friend
bg	Be Good
fomo	Fear Of Missing Out
bb	Be Back -or- Buzzard Breath -or- Blessed Be
bc	Because
bl	Belly Laughing
fomc	Fell Off My Chair
bn	Been -or- Being
bi	Business Intelligence
bj	Blow Job
bt	Byte This
bw	Best Wishes
br	Bathroom
bs	Big Smile -or- Bull Sh** -or- Brain Strain
rus	Are You Serious?
gmab	Give Me A Break
bz	Busy
ylw	Your Loving Wife
bgf	Best GirlFriend
yglt	You're Gonna Love This
cmao	Chortling My Ass Off
idm	It Doesn't Matter
idk	I Don't Know
idc	I Don't Care
ylh	Your Loving Husband
idgi	I Don't Get It -or- I Don't Get Involved
bmof	Bite Me Old Fart
nsa	No Strings Attached
btyc	Better Than You Can
btyd	Better Than You Do
lonh	Lights On, Nobody Home
twtr	Twitter
bion	Believe It Or Not
fasb	Fast Ass Son Bitchii
bruf	Big Requirements Up Front
kc	Keep Cool
pwp	Plot, What Plot?
pwn	own
sdk	Scottie Doesn't Know -or- Software Developer's Kit
cid	Consider It Done -or- Crying In Disgrace
uv	Unpleasant Visual
cio	Check It Out -or- Chief Information Officer / Chief Internet Officer
cil	Check In Later
l@u	Laughing At You -or- Laughing About You
sxe	Straight Edge
nbif	No Basis In Fact
lya	Love You All
lyb	Love You Babe
lyl	Love You Lots
nm,	u not much, you?
nab	Not A Blonde
nak	Nursing At Keyboard
b/w	Between
tptb	The Powers That Be
iwfu	I Wanna F*** You
naz	Name, Address, Zip (also means Nasdaq)
tps	That's Pretty Stupid
b/c	Because
nice	Nonsense In Crappy Existence
beos	Nudge
wf	Way Fun
bcoz	because
noob	also seen as: n00b -or- nub -or- no0blet
navy	Never Again Volunteer Yourself
agb	Almost Good Bridge
gt	Good Try
wywh	Wish You Were Here
wd	Well Done
tanj	There Ain't No Justice
edm	Electronic Document Management -or- Electronic Dance Movement
ganb	Getting Another Beer
gf	Girlfriend
gc	Good Crib
gb	Good Bridge
ga	Go Ahead -or- Good Afternoon
gm	Good Morning -or- Good Move
gl	Good Luck -or- Get Lost
gj	Good Job
gi	Google It
yaun	Yet Another Unix Nerd
ugc	User-Generated Content
iyfd	In Your F***ing Dreams
fwiw	For What It's Worth -or- Forgot Where I Was
mlas	My Lips Are Sealed
lfti	Looking Forward To It
aayf	As Always, Your Friend
stfw	Search The F***ing Web
mmyt	Mail Me Your Thoughts
fbks	Failure Between Keyboard and Seat
aeap	As Early As Possible
ufuf	You F***, You Fix
trp	Television Rating Points
hppo	Highest Paid Person in Office
cfv	Call For Vote
rrr	haR haR haR (instead of LOL)
rrq	Return Receipt reQuested
tdm	Too Darn Many
bdc	Big Dumb Company -or- Big Dot Com
bdn	Big Damn Number
fla	Four Letter Acronym
ilmj	I Love My Job
rdv	Reader's Digest Version
vbg	Very Big Grin
vbs	Very Big Smile
nme	Enemy
cta	Call To Action
ctc	Care To Chat -or- Contact -or- Choking The Chicken
aoas	All Of A Sudden
tftt	Thanks For The Thought
cto	Check This Out
dyac	Damn You Auto Correct
jafs	Just A F***ing Salesman
wim	Woe Is Me
wiu	Wrap It Up
wit	Wordsmith In Training
jafo	Just Another F***ing Onlooker
crat	Can't Remember A Thing
cha	Click Here Asshole
crap	Cheap Redundant Assorted Products
bfr	Big F***ing Rock
usp	Unique Selling Proposition
pfa	Pulled From Ass -or- Please Find Attached
iit	Is It Tight?
pfc	Pretty F***ing Cold
iir	If I Remember -or- If I Recall
ttth	Talk To The Hand
pfm	Pure F***ing Magic
nmte	Now More Than Ever
sorg	Straight or Gay
tttt	To Tell The Truth
baby	Being Annoyed By You
taf	That's All, Folks
og	Original Gangsta
taw	Teachers Are Watching
tap	Take A Pill
tas	Taking A Shower
sro	Standing Room Only
bcnu	Be Seeing You
jhom	Just Helping out My (Mafia, Mob, Neighbors, etc.)
tam	Thanks A Million
tah	Take A Hike
dws	Driving While Stupid
sip	Skiing In Powder
afk	Away From Keyboard -or- A Free Kill
siy	Search Inside Yourself
afc	Away From Computer
dwb	Don't Write Back
sia	Say It Again
afz	Acronym Free Zone
aft	About F***ing Time
afu	All F***ed Up
dwh	During Work Hours
afw	Away From Window
oz	Australia
imgc	I Might Get Caught
fitb	Fill In The Blanks
zmg	or ZOMG Oh My God
btfo	Back The F*** Off -or- Bend The F*** Over
bndn	Been Nowhere Done Nothing
sry	it means sorry
afj	April Fools Joke
sit	Stay In Touch
a/n	Author's Note
kbd	Keyboard
obx	Old Battle Axe
posc	Piece Of Sh** Computer
wawi	What A Wonderful Idea
lf	Let's F***
lg	Life's Good -or- Long Gone
ld	Long Distance -or- Later Dude
tsh	Too Stinkin' Hot
lo	it means hello
ll	Livin' Large
tsb	Tall, Sexy, Beautiful
lh	Laughing Hysterically
kmuf	Kiss Me You Fool
msmd	Monkey See Monkey Do
lbug	or LBIG Laughing Because You're Gay -or- Laughing Because I'm Gay
tsr	Totally Stuck in RAM -or- Totally Stupid Rules
ly	Love You
rfr	Really F***ing Rich
kiss	Keep It Simple Stupid
wyfm	Would You F*** Me?
kcco	Keep Calm &amp; Carry On
ibtc	Itty Bitty Titty Committee
diku	Do I Know You?
nadt	Not A Damn Thing
nfg	Not F***ing Good
nff	No F***ing Fair
nfe	No F***ing Excuses
dwi	Driving While Intoxicated
nfc	Not Favorably Considered -or- No F***ing Chance
tram	The Rest Are Mine
tisl	This Is So Lame
nfi	No F***ing Idea
sin	Stop It Now
nfw	No F***ing Way -or- No Feasible Way
kpc	Keeping Parents Clueless
nfs	Need For Sex -or- Network File System
bttt	Back To The Top -or- Bump To The Top
sil	Sister-In-Law
hpoa	Hot Piece Of Ass
n/m	Nothing Much
bump	Bring Up My Post
emi	Excuse My Ignorance
n/a	Not Applicable -or- Not Affiliated
lfu	Life"s F***ed Up
n/t	No Text
pbem	Play By EMail
ggoh	Gotta Get Out of Here
smop	Small Matter of Programming
aatk	Always At The Keyboard
snl	Same Night Lay
p-za	Pizza
w/e	Weekend
bwi	But What If
bwl	Bursting With Laughter
bwo	Black, White or Other
lts	Laughing to Self
ltr	Long Term Relationship
sthu	Shut The Hell Up
hhos	Ha Ha, Only Serious
hhok	Ha Ha, Only Kidding
hhoj	Ha Ha, Only Joking
ltf	Lick The Floor
ltm	Laughing To Myself
ihy	I Heart You -or- I Hate You
wts	Want To Sell
bamf	Bad Ass Mother F***er
ihu	I Hear You
iha	I Hate Acronyms
ugtr	You Got That Right
sep	Somebody Else's Problem
pots	Plain Old Telephone System -or- Pat On The Shoulder
soi	Self Owning Idiot
rsn	Real Soon Now
cyt	See You Tomorrow
cya	Cover Your Ass -or- See Ya
cye	Check your Email
gsoh	Good Sense Of Humor
cyo	See You Online
cym	Check Your Mail
cyl	See You Later
yby	Yeah Baby Yeah
khyf	Know How You Feel
ybs	You'll Be Sorry
beg	Big Evil Grin
sed	Said Enough Darling
pmji	Pardon My Jumping In
ybf	You've Been F***ed
\m/	Heavy Metal Music
neet	Not currently Engaged in Employment, Education, or Training
eak	Eating at Keyboard
nqa	No Questions Asked
su	Shut Up
mih	Make It Happen
mil	Mother-In-Law
mia	Missing In Action
istm	It Seems To Me
istr	I Seem To Remember
qt	Cutie -or- Quiet
omma	Oh My Aching Ass
sfx	Sound Effects -or- Stage Effects
sfp	Sorry For Partying
xlnt	Excellent
sb	Stand By
*$	Starbucks
awc	After While, Crocodile
urw	You Are Welcome
wot	Waste Of Time or- it means what
ooak	One Of A Kind
tdtm	Talk Dirty To Me
urz	yours
dba	Doing Business As
esmf	Eat Sh** Mother F***er
dbd	Don't Be Dumb
wyrn	What's Your Real Name?
nagb	Nearly Almost A Good Bridge
tsra	Two Shakes of a Rat's Ass
kity	Keep It To Yourself
fear	Forget Everything And Run -or- Face Everything And Recover
wotd	Word Of The Day
ngb	Nearly Good Bridge
rmma	Reading My Mind Again
ngh	Not Gonna Happen
jas	Just A Second
jam	Just A Minute
irl	In Real Life
idst	I Didn't Say That
w@	What?
tbu	Thinking 'Bout You
kyfc	Keep Your Fingers Crossed
sdfb	Smoke Dope F*** B*tches
ydkm	You Don't Know Me
tba	To Be Advised
tbc	To Be Continued
ymmv	Your Mileage May Vary
tbe	Thick Between Ears
tbd	To Be Determined
qq	Quick Question -or- Cry More
gbg	Great Big Grin
qs	Quit Scrolling
dps	Damage Per Second
kibo	Knowledge In, Bullsh** Out
nism	Need I Say More
gras	Generally Recognized As Safe
gbh	Great Big Hug
qc	Quality Control
rtfq	Read The F***ing Question
bbbg	Bye Bye Be Good
ql	Quit Laughing
btw	By The Way -or- Bring The Wheelchair
btr	Better
rafo	Read And Find Out
btd	Bored To Death
bta	But Then Again -or- Before The Attacks
shtf	Sh** Hits The Fan
wc	Who Cares -or- Water Closet
btn	Better Than Nothing
luv	it means love
ymmd	You Make My Day -or- You Made My Day
luk	it means good luck
p/u	Pick Up
utm	You Tell Me
joy	Jesus first, Others second, Yourself last
oml	Oh My Lord
qft	Quoted For Truth -or- Quit F***ing Talking
etx	End of TeXt
wu	What's Up
tlc	Tender Loving Care
nnsh	night night sweet heart
tla	Three Letter Acronym
eta	Estimated Time of Arrival -or- Edited To Add
cn	Can
cm	Call Me
cc	carbon copy
cb	Chat Brat -or- Coffee Break -or Call Back
wtg	Way To Go
iaym	I Am Your Master
cf	Coffee Freak -or- Cluster F***
cy	Calm Yourself
cx	Cancelled
rpg	Role Playing Games
cs	Career Suicide
ctmq	Chuckle To Myself Quietly
ct	Can't Talk -or- Can't Text
bbl	Be Back Later
nimy	Never In A Million Years
bbb	Bye Bye Babe -or- Boring Beyond Belief
ai	Artificial Intelligence -or- As If
nhoh	Never Heard Of Him/Her
bbw	Big Beautiful Woman -or- Big Black Woman
bbt	Be Back Tomorrow
bbs	Be Back Soon -or Bulletin Board Service
bbr	Burnt Beyond Repair
bbq	Bar-B-Que -or- Barbeque
oth	Off The Hook
otl	Out To Lunch
hmu	Hit Me Up
otc	Over The Counter
otf	On The Floor -or- On The Fone
myt	Meet You There
otp	On The Phone
otr	On The Road
ots	On The Scene -or- On The Spot -or- Off The Shelf
ott	Over The Top
botl	Bra On The Loose
ysk	You Should Know
ap	Apple Pie
soz	Sorry
rbu	Rainbows, Butterflies, Unicorns
ila	I Love Acronyms
rsvp	Repondez S'il Vous Plait
wilb	Workplace Internet Leisure Browsing
vc	Venture Capital
lusm	Love You So Much
sitd	Still In The Dark
vm	Voice Mail
pso	Product Superior to Operator
pdq	Pretty Darn Quick
fkm	F*** 'Em
tfys	The F*** You Say
cob	Close Of Business
dusl	Do You Scream Loud?
upod	Under Promise Over Deliver
iow	In Other Words
phb	Pointy Haired Boss
iou	I Owe You
iot	In Order To
ion	Index Of Names
ioh	I'm Outta Here
dust	Did You See That?
igws	It Goes Without Saying
wyw	Wish You Well
mrph	Mail the Right Place for Help
wyt	Whatever You Think
wys	Whatever You Say
wyp	What's Your Problem?
phat	Pretty Hot And Tempting
wyd	What You Doing?
pda	Personal Digital Assistant -or- Public Display of Affection
mtla	My True Love Always
ioud	Inside, Outside, Upside Down
ibtl	In Before The Lock
mfd	Multi-Function Device
mhhm	uh huh -or- yeah
mfg	Mit freundlichen Gruessen
sufi	Super Finger -or- Shut Up F***ing Imbecile
rgds	it means regards
tcb	Trouble Came Back -or- Taking Care of Business
adr	Address
sicl	Sitting In Chair Laughing
ibtd	I Beg To Differ
add	Address
nato	No Action, Talk Only
adn	Advanced Digital Network -or- Any Day Now
adm	Aye Dios Mio
rehi	Hi Again
fyc	For Your Consideration
psa	Public Service Announcement
fya	For Your Amusement
fyf	From Your Friend
btdt	Been There Done That
fye	For Your Edification
fyi	For Your Information
fatm	Foaming At The Mouth
fym	For Your Misinformation
tisc	This Is So Cool
dese	these
nvm	NeVer Mind
rtff	Read The F***ing FAQ
mstm	Makes Sense To Me
iiwm	If It Were Me
rotm	Right On The Money
vsf	Very Sad Face
doei	Goodbye (in Dutch)
wwsd	What Would Satan Do?
esg	Environmental, Social, Governance
tma	Too Many Acronyms
eso	Equipment Smarter than Operator
tmi	Too Much Information
kmwa	Kiss My White Ass
esh	Experience, Strength, and Hope
cwyl	Chat With You Later
grrr	Growling
w's^	what's up?
c/p	Cross Post
aitr	Adult In The Room
nidl	Not Interested, DisLike
yaba	Yet Another Bloody Acronym
np	No Problem -or- Nosy Parents
pw	password
idrk	I Don't Really Know
ndn	Indian
pu	That Stinks
mofo	Mother F***er
tsob	Tough Son Of a B*tch
merp	Modestly Enlightened Rich People
tsia	This Says It All
tsif	Thank Science It's Friday
bsod	Blue Screen of Death
waci	What A Cool Idea
stst	Sweet Tea SweeTie
rci	Rectal Cranial Inversion
smim	Send Me an Instant Message
ux	User eXperience
hx	it means history -or- hospital
hp	Higher Power
hv	Have
ht	Hi There -or- Hat Tip
hu	Hook Up
hi	5 High Five
ho	Hang On -or- Hold On
hb	Hurry Back
hf	Hello Friend -or- Have Fun -or- Have Faith
hd	Hold
byow	Build Your Own Website -or- Bring Your Own Wine
dmi	Don't Mention It
byob	Bring Your Own Bottle -or- Bring Your Own Beer
wisp	Winning Is So Pleasureable
byoa	Bring Your Own Advil
byod	Bring Your Own Device
ftrf	F*** That's Really Funny
pin	Person In Need -or- Personal Identification Number
pif	Paid In Full
pix	pictures -or- photos
myl	Mind Your Language
pir	Parent In Room
durs	Damn You Are Sexy
nrn	No Reply Necessary
oao	Over And Out
sics	Sitting In Chair Snickering
book	it means cool
dwbh	Don't Worry Be Happy
ubs	Unique Buying State
nrg	Energy
dyli	Do You Love It?
eod	End Of Day -or- End Of Discussion
eom	End Of Message
eol	End Of Life
eot	End Of Thread/Text/Transmission
hny	Happy New Year
snif	Simple Nice Index File
